Video ID,Video Title,View Count,Like Count,Comment Count,YouTube Channel,Commenter Name,Comment,Comment Like Count
BISCTZIeDZo,Danke Thomas Wörle! Der Erfolgstrainer der FC Bayern Frauen sagt Servus,3460,103,6,FC Bayern Frauen,@benilaTV,#Ehrenmann,0
BISCTZIeDZo,Danke Thomas Wörle! Der Erfolgstrainer der FC Bayern Frauen sagt Servus,3460,103,6,FC Bayern Frauen,@feli560,"1 .Like,1. Kommentar",0
BISCTZIeDZo,Danke Thomas Wörle! Der Erfolgstrainer der FC Bayern Frauen sagt Servus,3460,103,6,FC Bayern Frauen,@feli560,Thom Danke für die erfolgreiche Zeit wir haben alle gesehen wie du die Bayern Frauen voran gebracht hast du bist e guter Trainer schon seit Anfang an.Nun Mist du leider Gottes gehen,1
3-pEofQZ3oA,Ende einer legendären Karriere: Melanie Behringer sagt Servus,3352,110,1,FC Bayern Frauen,@chris.v.5418,Ob sie beim FC Bayern im Frauenbereich einen Job bekommt????,3
yZbJI6qAKxo,UEFA Women's Champions League: Die FC Bayern Frauen empfangen den FC Barcelona!,1055,47,2,FC Bayern Frauen,@ilyannce9756,Erster und bin morgen da👍🏽👍🏽⚽️,0
fGapHrvaBko,FC Bayern Frauen: Große Freude über den Halbfinal-Einzug in der UEFA Women's Champions League,4960,156,10,FC Bayern Frauen,@alvarolargo,"Go Princess, GO.",1
fGapHrvaBko,FC Bayern Frauen: Große Freude über den Halbfinal-Einzug in der UEFA Women's Champions League,4960,156,10,FC Bayern Frauen,@bakitinguiba9057,cool,0
fGapHrvaBko,FC Bayern Frauen: Große Freude über den Halbfinal-Einzug in der UEFA Women's Champions League,4960,156,10,FC Bayern Frauen,@niklasmutzke7127,Wow 57 zu 0 likes,0
fGapHrvaBko,FC Bayern Frauen: Große Freude über den Halbfinal-Einzug in der UEFA Women's Champions League,4960,156,10,FC Bayern Frauen,@guennicopter,"Glück gehabt nicht vor dem Finale Lyon zu bekommen, 2 Spiele gegen Lyon zu gewinnen wird schwer aber im Finale ein Lucky punch wäre möglich!",0
fGapHrvaBko,FC Bayern Frauen: Große Freude über den Halbfinal-Einzug in der UEFA Women's Champions League,4960,156,10,FC Bayern Frauen,@lisath4027,Soo geil wars,0
fGapHrvaBko,FC Bayern Frauen: Große Freude über den Halbfinal-Einzug in der UEFA Women's Champions League,4960,156,10,FC Bayern Frauen,@Ofenbaguette,"Glückwunsch an den Trainer, an das Team und vor allem an die Mädels! War ein klasse Spiel gegen Prag! ^^",1
fGapHrvaBko,FC Bayern Frauen: Große Freude über den Halbfinal-Einzug in der UEFA Women's Champions League,4960,156,10,FC Bayern Frauen,@seauxmean4074,Let's get that champions league trophy !,1
HTBgrg1GHxI,Historische Champions-League-Nacht: FC Bayern Frauen stehen erstmals im Halbfinale!,11994,217,6,FC Bayern Frauen,@يومياتزنوبةالمحبوبة,❤️,0
