Video Title,Like Count,View Count,Comment Count,Commenter Name,Comment,Comment Like Count,YouTube Channel
Minjae Kim with debut goal to win at home | FC Bayern - PSG 1:0 | Highlights Champions League,22506,1282054,801,@passwoony96,It is definitely glad to win but we need to think about our FW. May be we can go to tournaments but it is hard to move beyond,0,FC Bayern München
You ask - Our players answer! 💬 #ASKFCBAYERN,4668,117285,50,@Brotcool,Bye Fans,0,FC Bayern München
Pressetalk nach FC Bayern - Holstein Kiel | Bundesliga,1221,52979,337,@fcbayernfanforever9027,Hauptsache 3 Punkte geholt und gewonnen ❤️🤍💪,6,FC Bayern München
Underpants & toothbrush or Bavarian mustard & pretzels? | What's in my bag with Thomas Müller 👝,1395,25532,65,@gabrielvp3365,"Ihr seid so unehrlich, dass ihr Angst habt, das neue Heimtrikot des FC Bayern für die nächste Saison zu zeigen. Ihr wisst bereits, dass das Design des Trikots im Internet durchgesickert ist und jeder das miserabele Design gesehen hat, das von Adidas gemacht wurde. Habt ihr Angst vor extremen Kritiken bei den Protesten, die gegen dieses Trikot stattfinden werden? Ihr werdet die Konsequenzen dafür tragen, dass ihr dieses schreckliche Trikot gemacht habt, und das wird sich auf die Finanzen des Vereins auswirken, denn diesmal werdet ihr wenig Geld mit dem Verkauf der Trikots einnehmen. Niemand wird dieses schreckliche Trikot kaufen wollen!",0,FC Bayern München
Don't misplace your pass online. ❌,12948,421864,172,@sehu1291,Fake news die per AI Videos oder Deepfakes gestreut werden sind wirklich ein großes Problem unserer Zeit,0,FC Bayern München
"Neuer, Laimer & Kane - Their reactions to Bayern’s Bundesliga title 2025",5007,114949,313,@NorbertNahumEvreuklovic,NUR STOLZ❤,0,FC Bayern München
Beckenbauer Cup | RE-LIVE | FC Bayern München,7607,380639,104,@VanNistxenrooy,HALA MADRID ❤,2,FC Bayern München
Beer for Bambi! 😂🍺 #MiaSanMeister,83076,3873948,458,@254-17,Isn't Jamal Muslim,0,FC Bayern München
Getting ready for our 125-year anniversary collection launch tomorrow! ❤️🤍,3579,46417,34,@bayernfansclub7238,Mia San Mia ❤,0,FC Bayern München
How to prepare the pitch for a Champions League matchup! | Our Greenkeepers at work – BTS,5887,325996,113,@creativeworxstudio,"AMEN ❤️❤️❤️ 
AMEN ❤️❤️❤️ 
AMEN ❤️❤️❤️ 
AMEN ❤️❤️❤️ 
AMEN ❤️❤️❤️ 
AMEN ❤️❤️❤️ 
AMEN ❤️❤️❤️
77",1,FC Bayern München
Find someone who loves you like Jamal loves pretzel sticks 😂❤️,42732,1164628,177,@frankfurtchemie8693,"Das erklärt auch wieso die ""Slazstange"" so schnell fällt bei nem Zweikampf  😂😂",0,FC Bayern München
Alphonso Davies - München my Throne (Official Music Video),58772,932486,1894,@Alee_sagar,Bro is gonna regret it for his whole life mark my word🤣🤣,0,FC Bayern München
Our last UCL match was like 😮‍💨,229008,5723952,1761,@MantiMotoko,So easy for him,0,FC Bayern München
Our last UCL match was like 😮‍💨,229008,5723952,1761,@TheBlackLeague1974,dls irl 💀💀💀,0,FC Bayern München
𝑷𝒐𝒆𝒕𝒓𝒚 𝒊𝒏 𝒎𝒐𝒕𝒊𝒐𝒏 ... 😮‍💨,17048,272452,160,@pokushaker,Was the eye signature for me 😮,0,FC Bayern München
Pressetalk nach dem 2-2 Unentschieden gegen Borussia Dortmund | Bundesliga,1119,48165,290,@musashimiyamoto586,"Danke, Vincent, für ein System, das für jedes gute oder schlechte Team leicht auszurechnen ist. Stell den Olise zu und dann ist der halbe Angriff schon weg. Dann noch immer wieder Sane aufstellen und das war's dann. Und wenn Kane dann auch noch versagt, geht gar nix mehr. Das ist keine Taktik, das ist amateurhaft und eines FCB nicht würdig.
50 Mal aufs Tor, na und? Was hat es gebracht? Nix.",1,FC Bayern München
The new stadium anthem of FC Bayern - a present by the Südkurve München 🎶,28998,847999,1616,@papauwe3982,sehr stark ❤🤍,1,FC Bayern München
„It‘s like getting the star at Mario Kart“ 😂,175048,4949414,600,@flawsome9058,Give the editor a raise,0,FC Bayern München
Our last UCL match was like 😮‍💨,229008,5723952,1761,@Joella-m6t,"Player ❌️
Invisible man✅️💀",4,FC Bayern München
"Neuer, Goretzka & der FCA: Kompany und Eberl im Pressetalk vor Augsburg | Bundesliga",1866,57890,145,@kebronmedhane3842,remember the name kebron medhane,1,FC Bayern München
WHAT IT MEANS! 🍻🏆,97070,4184369,1052,@nunziogrella3040,😂😂❤🎉🎉,0,FC Bayern München
Phonzy’s last-minute equaliser sends us through! | FC Bayern - Celtic | Champions League Highlights,9424,617810,359,@borisamalet1062,MIA SAN MIA 🇩🇪❤️🔥,1,FC Bayern München
Champion Harry Kane 🏆😎,35821,612047,1071,@Gavinpetty-p6k,Cmon Harry Ur My Idol,1,FC Bayern München
Pressetalk nach FC Bayern 1-0 Paris Saint-Germain | Champions League,1753,66630,166,@thomas_nitschke,Fragen nach Jackenwechsel etc. Teilweise schon recht merkwürdige Fragen.,85,FC Bayern München
Pressetalk nach Inter Mailand - FC Bayern | Champions League,1177,39077,312,@Django-Freemann,"Warum spricht keiner darüber, dass kim nun das 7x in big games patzt. Wie kann man so zum kopfball hochgehen? Hoffe es wird mit sane nicht verlängert...tut mir leid für müller",3,FC Bayern München
"""Even with the Booster?!"" 😂 eFootball x FC Bayern Card Challenge with Olise, Musiala, Kimmich & Kim",5196,129608,180,@monaritayoussef5807,So michael can talk😂,0,FC Bayern München
Back where we belong. 🏆,10388,166156,247,@Zoe_Robloooox,FCB ❤,0,FC Bayern München
Find someone who loves you like Jamal loves pretzel sticks 😂❤️,42732,1164628,177,@LauraMüller-w7g,Stuttgart besser wie Bayern!!!,0,FC Bayern München
Unbeaten champion & emotional comeback! | More than 90 minutes presented by Allianz – EP6,2055,75358,67,@shanghai72,Sehr sehr gerne mehr davon!!!,10,FC Bayern München
Alphonso Davies - München my Throne (Official Music Video),58772,932486,1894,@alienxxxxxx,Davies♥,0,FC Bayern München
💥 𝐓𝐰𝐢𝐧 𝐒𝐡𝐨𝐭 – Kane x Musiala ⚽️,9022,235085,141,@missfazo,Mia san mia Bayern München,0,FC Bayern München
Goretzka & Kompany im Pressetalk vor Bayer Leverkusen - FC Bayern | Champions League,2676,87616,222,@benjamin6522,"Ganz vorbildlich Leon. Ich würde mir wünschen, wenn er noch weiter beim FC Bayern bleibt",2,FC Bayern München
This is how FC Bayern lives in Orlando 🏡🇺🇸 Base Camp Tour w/ Coman & Urbig | FIFA Club World Cup,13284,426988,414,@LeastSlutty,BAYERN! BAYERN! BAYERN!,1,FC Bayern München
Our last UCL match was like 😮‍💨,229008,5723952,1761,@Abdi-nj2nw,One L or R,0,FC Bayern München
"""Haben das Momentum nicht hergegeben"" | Pressetalk nach Union Berlin | 9. Spieltag",1777,63477,154,@ВладимирТитов-ю9г,Я первый откоменчу,0,FC Bayern München
2 years ago 🥹 our last minute championship ❤️,6914,147993,72,@lucanikolaus4222,"So ein Gänsehaut Moment 
MIA SAN MIA ❤️ 🤍 ❤️",2,FC Bayern München
"🏆 𝐃𝐄𝐔𝐓𝐒𝐂𝐇𝐄𝐑 𝐌𝐄𝐈𝐒𝐓𝐄𝐑 𝟐𝟎𝟐𝟓 🏆 Brought it home. For the club, for the fans, for the city. ❤️🤍",11332,244936,3744,@bloozified,"So happy for Kane, and the rest of the team! Finally the trophy he always deserved! Crazy numbers and hard work, keep pushing forward!",2,FC Bayern München
„It‘s like getting the star at Mario Kart“ 😂,175048,4949414,600,@emmanuelble6753,He knows in Balde,0,FC Bayern München
FC Bayern talents progressing well in Austria | Loan Watch | EP. 1,1367,35702,27,@FT-YouF,Bitte noch so eine folge,0,FC Bayern München
All Goals and Highlights | Beckenbauer Cup 2025,18260,927486,654,@guy12327,"Mega Event, macht richtig Spaß zuzusehen. Robbery ist das beste was dem FCB je passiert ist. ;)",0,FC Bayern München
Nestory Irankunda & Grayson Dettoni on their progress in Zurich | Loan Watch – Ep. 4,1278,24001,63,@kidfromthehood3608,Zaragoza ballt bei Osasuna aber nein Bayern will ihn loswerden. Hoffentlich nimmt Barca ihn und er macht da 20 Buden. Nur um auf die lange Liste an Fehlern die letzten Jahre zu kommen. Der Verein geht rückwärts. Meisterschaft ist der Standart also nichts wofür man alles hochhypen muss.,1,FC Bayern München
Pressetalk mit Kompany vor FC Bayern - 1. FSV Mainz 05 | Bundesliga,1559,48477,205,@wolfgangschaefer665,"Ich glaube wir verlieren gegen Mainz 😢😢.
Mainz ist zu stark",2,FC Bayern München
Harry is there where he's needed ❤️,201192,5972689,764,@lucho..-1.,"Calm down Harry , you are winning 9-2",1267,FC Bayern München
