video_id,comment,author,like_count,published_at
V2_GU-0jNfw,Congratulations 🎊 Arsenal Woman ❤️ from Cambodia 🇰🇭❤️,@NamrongBon,3,2025-04-28T01:51:06Z
V2_GU-0jNfw,"Remontada 🔥🔥🔥 what a performance, girls !",@NayZhong,2,2025-04-28T01:48:12Z
V2_GU-0jNfw,Its time for the boys coyg,@NitinDurbarry,0,2025-04-28T01:42:38Z
V2_GU-0jNfw,Comeback is real❤❤❤❤❤,@knotknot7776,0,2025-04-28T01:38:54Z
V2_GU-0jNfw,unbelievable arsenal women! arsenal vs barca at final will be great to watch... can't wait,@medroastt9888,1,2025-04-28T01:35:22Z
V2_GU-0jNfw,REMONTADA,@TheChibii,0,2025-04-28T01:34:47Z
V2_GU-0jNfw,Advance Congratulations to Barcelona ❤️💙,@nagendrakathula,0,2025-04-28T01:33:41Z
V2_GU-0jNfw,What an amazing comeback!,@SulymanRidwanBolakale,4,2025-04-28T01:31:16Z
V2_GU-0jNfw,"1) Assnal have never won the UWCL because, the UWCL was created in 2009.
2) FARMERlona are going to embarrass Assnal in the Final.",@RealPearlMania,0,2025-04-28T01:31:05Z
V2_GU-0jNfw,COYG Proud of the gals,@vb_boyzz,2,2025-04-28T01:29:20Z
V2_GU-0jNfw,Imagine if Arsenal manage to pull off the CL double? One can dream :),@williams6334,2,2025-04-28T01:27:17Z
V2_GU-0jNfw,"What a match, well done Arsenal.  Russo's goal a thing of beauty.",@anaconda7184,7,2025-04-28T01:24:03Z
V2_GU-0jNfw,That 3rd goal was pure comedy,@samuelihejirika4203,0,2025-04-28T01:22:46Z
V2_GU-0jNfw,Gunners are always Gunners,@cawaaleyusuf3645,0,2025-04-28T01:21:45Z
V2_GU-0jNfw,Congratulation. RUSSOOOOOOOOOOOOOOOOO.....🥰🥰🥰🥰,@Dr.RamesworMaharjan,1,2025-04-28T01:20:20Z
V2_GU-0jNfw,"#REMONTADA 
Finalist Arsenalfwc
We bring it home, it ours 2025.",@big615fx,0,2025-04-28T01:20:05Z
V2_GU-0jNfw,Give it the trophy to barcelona,@maycruz6704,0,2025-04-28T01:16:18Z
V2_GU-0jNfw,COYG❤️🤍,@Bigm_hunna,0,2025-04-28T01:14:59Z
V2_GU-0jNfw,"Two defending champions ( men side and the women side) all eliminated by Arsenal ..... Wow my revenge is one the way because on the 2006 UCL final, I betted with my school fees and lost so if Arsenal (both the men and women) to win it against FC Barcelona will be revenge worth waiting for. COYG ❤❤❤❤❤❤",@michaelamponsahkonadu4617,0,2025-04-28T01:13:45Z
V2_GU-0jNfw,Barcelona vs Arsenal for women’s & men’s final. Getting revenge twice will be soo sweet #COYG,@SwelihleMangwe,1,2025-04-28T01:12:53Z
V2_GU-0jNfw,Quel honte!,@CapcinePatrick-rc9nr,0,2025-04-28T01:08:14Z
