video_id,comment
VAoJwFmi1Ho,"Na also sooo vernichtend fand ich das nicht wie so viele der Posts hier. Ja, das Spiel muß der VfL gewinnen um ganz oben dabei zu sein, stimmt. Beide Keeperinnen waren sehr gut, wenn auch die Geissböckin wesentlich mehr zu tun hatte. Doch: Wolfsburg spielt noch gegen Frankfurt & Bayern, muss dann halt unbedingt beides gewonnen werden.
Beerensteyn wird auch in der CL ihre Chancen bekommen und auch wenn sie hier Riesenchancen hat liegen lassen, sie ist (siehe meinen letzten Vlog) die ""heißeste Schützin"" der letzten 4 Spieltage!"
VAoJwFmi1Ho,Mädels 🎉 nr1 Wob
VAoJwFmi1Ho,Schon skandalös das ihr die zwei klaren Handelfmeter für Wolfsburg nicht rein schneidet und kein Wort zum peinlichen Zeitspiel der Kölnerinnen seit der 45. Minute.
VAoJwFmi1Ho,"Meisterschaft Ade..Viel zu spät gewechselt, wie so oft.....Ein Trainerwechsel ist mehr als nötig......So auch keine Chance in der CL......Traurig was aus den Wölfinnen geworden ist.."
VAoJwFmi1Ho,Ich hoffe ich verliert gegen Barcelona 10:0😊
VAoJwFmi1Ho,Es wurde Zeit das wir endlich mal eine richtig gute Torfrau.❤ das war oft genug unser Schwachpunkt
VAoJwFmi1Ho,"Die Koelnerinnen hatten Dank ihrer Keeperin das Quaentchen Glueck dass der Punkt letztendlich in Koeln geblieben ist aber da siehst du wie wichtig eine gute Keeperin ist und der Stadionsprecher ist auch ganz deutlich zu hoeren: ""Steht auf wenn ihr Koelner seid!!!"" Den habt ihr gut in dieses kurze Video eingefangen bekommen, top!"
VAoJwFmi1Ho,"Freue mich auf das CL-Torfestival im März: Barcelona 😜 und Lyon 😜 gegen die ""Spitzenclubs"" 😜 der Bundesliga..."
VAoJwFmi1Ho,"Lineth hatte treffen müssen

Das, wars wohl mit der Meisterschaft mal wieder"
VAoJwFmi1Ho,Der VFL hat es verkackt.
VAoJwFmi1Ho,"Ganz ehrlich: Wie der VFL Wolfsburg Merle Frohms behandelt, ist absolut mies und reines Mobbing!!!"
VAoJwFmi1Ho,"Vielleicht dämmert es jetzt, dass der VfL andere Probleme hat, als zur Unzeit Torfrauendiskussionen anfangen oder dann und wann tiefer zu stehen! Klar war auch etwas Pech dabei, aber  dem Team fehlt es an Konsequenz im letzten Drittel und der Fähigkeit, eine deutlich schwächere Mannschaft durch strukturiertes Passspiel auszuhebeln.😢"
y3TYREywP7E,Immer nur vfl💚🐺🐺💚
y3TYREywP7E,Why can't we watch the full match on youtube?
y3TYREywP7E,A nice game from Wolfsburg
UqeFswGY-lQ,"hää, welche Dominanz?  Bayern hat nur knapp gewonnen, Dominanz sieht anders aus. Das Ergebnis kann nicht der Anspruch von Bayern sein. Mit einem Tor Vorsprung gewonnen, mit Glück gewonnen."
UqeFswGY-lQ,Ja
UqeFswGY-lQ,"""Souveräner Auftritt"", aber nur 1 Tor -- das ist ein Widerspruch."
UqeFswGY-lQ,Danke für's hochladen ❤
76_v9SqfhDw,"1:11:39 ""nice flash to the face"" & 1:12:50 ""the imprint of the ball on her face""  😮😖 - British humor from the happy moderator 👎"
76_v9SqfhDw,Mighty winner SGE !!
76_v9SqfhDw,Die Tore entscheiden 😂
76_v9SqfhDw,"This could be the game that maybe cost Bayer Leverkusen the title race and finish outside of The Uefa champions league place if results go against them.. Bayer Leverkusen must win every single remaining League game against SGS Essen, Hoffenheim, Carl Zeiss Jena, Werder Bremen, Bayern Munich, FC Koln, Potsdam, RB Leipzig and VFL Wolfsburg.."
76_v9SqfhDw,Super-Spiel. Beide Mannschaften meisterhaft. Aber Leverkusen war besser und hätte den Sieg verdient.
N_gOkb8xqcI,Ze is fysiek erg sterk maar moet zich natuurlijk wel bewijzen
N_gOkb8xqcI,Wish she had been able to play yesterday's fa cup match
N_gOkb8xqcI,Lize ur Special
N_gOkb8xqcI,Best try❤🔥💪.
W3oPf4FWr8Q,Forza Como
W3oPf4FWr8Q,Como goals 7:45 and 8:22
W3oPf4FWr8Q,Will Como go finally to champions league?
W3oPf4FWr8Q,But what about red card?..
NK7eLbhu9EQ,Popp the absolute best ❤❤
NK7eLbhu9EQ,"Ihr tickt doch nicht ganz sauber. 
Ich würde jede Szene 10x wiederholen"
dF9uUhS5w20,What a player! Danish goat
dF9uUhS5w20,"Really enjoyed Harder when she was playing on Chelsea. Mostly header goals here, but I thought her playmaking was some of the best in women's soccer. Glad she is doing well."
dF9uUhS5w20,HARDER!!!!!!!!!!!!!!!!!!!!!!!!
dF9uUhS5w20,Fa sempre la scelta migliore. Grande Pernille ✨
dF9uUhS5w20,Queen P 👏
dF9uUhS5w20,Hello Heppy new Year
dF9uUhS5w20,"nice goals, but what really makes her stand out is her game intelligence and her huge influence on the team. the goals are just a very nice bonus imo."
dF9uUhS5w20,Hello garals Heppy new Year
NG35REVSBe0,"While everyone is talking about Barcelona, Lyon, Arsenal, Chelsea or City, Bayern Munich can become this season's dark horse. 
Flawless during their first five games, they had a bit of bad luck during round 6 against Arsenal.
If they can get more shots on target and be more accurate in the conversion of their chances, Bayern will be a serious danger for the aforementioned big five."
NG35REVSBe0,"Bots weg, sofort"
NG35REVSBe0,4️⃣🅰️7️⃣N W🤍Ⓜ️5️⃣N'🌟 7️⃣💙♥️1️⃣🅱️7️⃣1️⃣
4568qaQCpEY,"Sorry, but Bayern should have won"
4568qaQCpEY,Min 20'20 bùhl what a look 🤨
4568qaQCpEY,Mariona fantástica tocando el piano y lanzando penaltis 🎹🏆⚽🤸
4568qaQCpEY,Prima! Scheiß-Bayern...
4568qaQCpEY,Warum müßt Ihr immer solche Brüllaffen an die Mikrophone setzen ?
4568qaQCpEY,Why does it not let me watch the match live on here but then after the match it lets me
4568qaQCpEY,"🛸                                            🛸
Magdalena Eriksson ballando sulle tombe dei topi cantati                 🤓"
